Ident;Type;Destination;Departure
SWA1721;B738;Salt Lake City Intl (KSLC);Wed 08:30PM MDT
SWA1899;B738;Washington Dulles Intl (KIAD);Wed 05:25PM MDT
UAL2760;A320;Chicago O'Hare Intl (KORD);Wed 12:57PM MDT
SWA1988;B737;LaGuardia (KLGA);Wed 06:55AM MDT
SWA1721;B738;Salt Lake City Intl (KSLC);Tue 08:30PM MDT
AAL1160;B738;Chicago O'Hare Intl (KORD);Tue 05:43PM MDT
ASA643;B739;Seattle-Tacoma Intl (KSEA);Tue 04:40PM MDT
SWA729;B738;Washington Dulles Intl (KIAD);Tue 10:45AM MDT
AAL2445;B38M;Miami Intl (KMIA);Tue 10:38AM MDT
LOF4653;E145;Gunnison Regional (KGUC);Tue 09:20AM MDT
AAL124;B738;Dallas-Fort Worth Intl (KDFW);Tue 08:57AM MDT
UAL2755;B752;Los Angeles Intl (KLAX);Tue 07:30AM MDT
SWA1587;B738;Minneapolis/St Paul Intl (KMSP);Tue 07:20AM MDT
SWA1394;B738;Chicago Midway Intl (KMDW);Tue 07:00AM MDT
SWA4778;B738;San Jose Int'l (KSJC);Tue 06:20AM MDT
SWA2327;B738;McCarran Intl (KLAS);Tue 05:40AM MDT
SWA2303;B738;Metropolitan Oakland Intl (KOAK);Tue 05:35AM MDT
SWA1721;B738;Salt Lake City Intl (KSLC);Mon 08:30PM MDT
GJS4511;CRJ7;Montrose Rgnl (KMTJ);Mon 07:05PM MDT
SWA287;B738;Baltimore/Washington Intl (KBWI);Mon 03:40PM MDT
FFT436;A320;General Mitchell Intl (KMKE);Mon 03:19PM MDT
FFT156;A319;Des Moines Intl (KDSM);Mon 03:09PM MDT
SWA2570;B738;Orlando Intl (KMCO);Mon 03:00PM MDT
SWA4498;B738;John Glenn Columbus Intl Airport (KCMH);Mon 01:05PM MDT
SWA744;B738;Fort Lauderdale Intl (KFLL);Mon 01:05PM MDT
SWA2572;B738;McCarran Intl (KLAS);Mon 12:35PM MDT
AAL2470;B738;Chicago O'Hare Intl (KORD);Mon 12:32PM MDT
SWA729;B738;Washington Dulles Intl (KIAD);Mon 10:45AM MDT
AAL2445;B38M;Miami Intl (KMIA);Mon 10:38AM MDT
SWA2442;B738;General Mitchell Intl (KMKE);Mon 10:30AM MDT
AAL2780;B738;Chicago O'Hare Intl (KORD);Mon 10:29AM MDT
SWA2571;B738;William P Hobby (KHOU);Mon 10:00AM MDT
UAL576;B752;Newark Liberty Intl (KEWR);Mon 08:30AM MDT
SWA2330;B738;Phoenix Sky Harbor Intl (KPHX);Mon 08:00AM MDT
SWA1587;B738;Minneapolis/St Paul Intl (KMSP);Mon 07:20AM MDT
SWA2522;B738;St Louis Lambert Intl (KSTL);Mon 07:10AM MDT
SWA1394;B738;Chicago Midway Intl (KMDW);Mon 07:00AM MDT
SWA4778;B738;San Jose Int'l (KSJC);Mon 06:20AM MDT
SWA662;B738;William P Hobby (KHOU);Mon 06:15AM MDT
SWA2335;B738;Hartsfield-Jackson Intl (KATL);Mon 06:10AM MDT
